torque_tag,torque_time,torque_value,bpfs_curr_operating_tag,bpfs_curr_operating_time,bpfs_curr_operating_value,bpfs_available,wt401,wt501,plantfeedrate,tonnes_per_bpf_tag,tonnes_per_bpf_time,tonnes_per_bpf_value,settling_time_tag,settling_time_time,settling_time_value,overflow_clarity_tag,overflow_clarity_time,overflow_clarity_value,storm_clarity_tag,storm_clarity_time,storm_clarity_value,bed_levels_time,bed_levels_value,slope,BMC_FE401_O_PV_tag,BMC_FE401_O_PV_time,BMC_FE401_O_PV_value,BMC_FE501_O_PV_tag,BMC_FE501_O_PV_time,BMC_FE501_O_PV_value,thickener_rake,available_bpfs_for_TK10,available_bpfs_for_TK30,compacted_bed_level_tag,compacted_bed_level_time,compacted_bed_level_value,hindered_bed_level_tag,hindered_bed_level_time,hindered_bed_level_value,DP903_tag,DP903_time,DP903_value,avg_settling_time,bpf_recirculating_tag,bpf_recirculating_load,BMC_TH701_DT_PV_tag,BMC_TH701_DT_PV_value,updated_time
BMC_TH701_X_CONTROL.PV,10/11/2024 20:35,14.725275,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,958.70996,1907.519775,tonnes_per_bpf,10/11/2024 20:37,18.45163167,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:35,44,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:35,92.551895,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:36,2199,10/11/2024 20:35,108.94261,0.167061692,BMC_FE401_O.PV,10/11/2024 20:30,7,BMC_FE501_O.PV,10/11/2024 20:27,7,-0.02442002,5,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:35,108.94261,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:36,114.97436,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:36,56,48.37887067,BMC_SM701_FS_CONTROL.PV,25.030525,BMC_TH701_DT.PV,193.6586,10/11/2024 20:37
BMC_TH701_X_CONTROL.PV,10/11/2024 20:35,14.725275,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,958.70996,1907.519775,tonnes_per_bpf,10/11/2024 20:36,17.34554939,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:35,44,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:35,92.551895,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:36,2199,10/11/2024 20:35,108.94261,0.141353883,BMC_FE401_O.PV,10/11/2024 20:30,7,BMC_FE501_O.PV,10/11/2024 20:27,7,-0.02442002,5,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:35,108.94261,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:36,114.97436,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:36,56,49.22652885,BMC_SM701_FS_CONTROL.PV,25.030525,BMC_TH701_DT.PV,193.6586,10/11/2024 20:36
BMC_TH701_X_CONTROL.PV,10/11/2024 20:33,14.920635,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,946.39624,1895.206055,tonnes_per_bpf,10/11/2024 20:35,13.71363556,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:32,63,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:33,92.94261,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:33,2150,10/11/2024 20:34,115.71673,0.133581799,BMC_FE401_O.PV,10/11/2024 20:30,7,BMC_FE501_O.PV,10/11/2024 20:27,7,-0.04884005,6,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:34,115.71673,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:34,121.93407,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:33,54,50.01916376,BMC_SM701_FS_CONTROL.PV,23.956045,BMC_TH701_DT.PV,210.60526,10/11/2024 20:35
BMC_TH701_X_CONTROL.PV,10/11/2024 20:32,14.847375,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,960.46906,1909.27887,tonnes_per_bpf,10/11/2024 20:34,9.668590927,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:32,63,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:32,93.113556,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:30,1330,10/11/2024 20:32,115.809525,0.130625695,BMC_FE401_O.PV,10/11/2024 20:30,7,BMC_FE501_O.PV,10/11/2024 20:27,7,0.02442002,6,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:32,115.809525,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:33,121.748474,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:33,54,49.55772647,BMC_SM701_FS_CONTROL.PV,23.956045,BMC_TH701_DT.PV,149.2851,10/11/2024 20:34
BMC_TH701_X_CONTROL.PV,10/11/2024 20:31,14.920635,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,975.7146,1924.524414,tonnes_per_bpf,10/11/2024 20:33,6.969911499,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:29,37,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:31,93.211235,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:30,1330,10/11/2024 20:31,115.99512,0.1215961,BMC_FE401_O.PV,10/11/2024 20:30,7,BMC_FE501_O.PV,10/11/2024 20:27,7,-0.07326008,5,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:31,115.99512,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:29,122.02686,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:27,53,49.17135086,BMC_SM701_FS_CONTROL.PV,25.396826,BMC_TH701_DT.PV,112.35007,10/11/2024 20:33
BMC_TH701_X_CONTROL.PV,10/11/2024 20:31,14.920635,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,975.7146,1924.524414,tonnes_per_bpf,10/11/2024 20:32,7.360644277,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:29,37,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:31,93.211235,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:30,1330,10/11/2024 20:31,115.99512,0.135301627,BMC_FE401_O.PV,10/11/2024 20:30,7,BMC_FE501_O.PV,10/11/2024 20:27,7,-0.07326008,5,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:31,115.99512,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:29,122.02686,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:27,53,49.21545064,BMC_SM701_FS_CONTROL.PV,25.396826,BMC_TH701_DT.PV,112.35007,10/11/2024 20:32
BMC_TH701_X_CONTROL.PV,10/11/2024 20:30,14.1391945,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,948.44855,1897.258362,tonnes_per_bpf,10/11/2024 20:31,8.502036438,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:29,37,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:30,92.94261,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:30,1330,10/11/2024 20:29,115.71673,0.126323144,BMC_FE401_O.PV,10/11/2024 20:20,7,BMC_FE501_O.PV,10/11/2024 20:27,7,-0.02442002,5,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:29,115.71673,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:29,122.02686,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:27,53,50.30324277,BMC_SM701_FS_CONTROL.PV,27.081808,BMC_TH701_DT.PV,50.546585,10/11/2024 20:31
BMC_TH701_X_CONTROL.PV,10/11/2024 20:28,13.406593,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,948.44855,1897.258362,tonnes_per_bpf,10/11/2024 20:30,15.4807134,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:26,50,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:27,92.7961,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:27,1844,10/11/2024 20:28,114.78877,0.120043711,BMC_FE401_O.PV,10/11/2024 20:20,7,BMC_FE501_O.PV,10/11/2024 20:27,7,-0.04884005,5,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:28,114.78877,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:26,117.01588,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:27,53,52.17484389,BMC_SM701_FS_CONTROL.PV,27.081808,BMC_TH701_DT.PV,93.14308,10/11/2024 20:30
BMC_TH701_X_CONTROL.PV,10/11/2024 20:27,13.333334,BMC_PF7XX_IND_FILTERSRUNNING.PV,10/11/2024 20:20,10,12,948.8098,948.44855,1897.258362,tonnes_per_bpf,10/11/2024 20:29,18.87832896,BMC_TH701_SETTLING_CONTROL.PV,10/11/2024 20:26,50,BMC_TH701_D2_CONTROL.PV,10/11/2024 20:26,93.50427,BMC_TH701_CLARITY_CONTROL.PV,10/11/2024 20:24,1505,10/11/2024 20:26,114.97436,0.112876477,BMC_FE401_O.PV,10/11/2024 20:20,7,BMC_FE501_O.PV,10/11/2024 20:17,7,-0.02442002,5,6,BMC_TH701_AIC2_L1_CONTROL.PV,10/11/2024 20:26,114.97436,BMC_TH701_AIC2_L2_CONTROL.PV,10/11/2024 20:26,117.01588,BMC_TH701_CLARITY_CONTROL.OP,10/11/2024 20:21,52,53.28896992,BMC_SM701_FS_CONTROL.PV,28.40049,BMC_TH701_DT.PV,168.98157,10/11/2024 20:29
